page,text_in_row,url
4,83 பாரியான 83 71,https://drive.google.com/open?id=0Bw1TGT80HnrbMzNPczlLV1R0Z28
4,84 புைவிக்ைணி 84 455,https://drive.google.com/open?id=0Bw1TGT80HnrbMDRsSHFzcENhek0
4,85 சபாதைந்தரு 85 72,https://drive.google.com/open?id=0Bw1TGT80HnrbMHBuUXV0SFlNU28
4,86 மனக்ைவகல 86 73,https://drive.google.com/open?id=0Bw1TGT80HnrbWEE3UFJSQlFnVXM
4,87 மூலங்கிள 87 74,https://drive.google.com/open?id=0Bw1TGT80HnrbTU0zcmE0cERhN00
4,88 மூலமந்திைம் 88 75,https://drive.google.com/open?id=0Bw1TGT80HnrbY0RkOE41WUl4dm8
4,89 வசனமிை 89 76,https://drive.google.com/open?id=0Bw1TGT80HnrbNVgtaWZRMy10YTg
4,90 வைதாமணி 90 77,https://drive.google.com/open?id=0Bw1TGT80HnrbSk5ybGlZYndHd00
4,91 வாதம்பித்தம் 91 437,https://drive.google.com/open?id=0Bw1TGT80HnrbT2ktZEI4RTlNQU0
4,92 சவயிகசந்து 92 428,https://drive.google.com/open?id=0Bw1TGT80HnrbcWRFY0JrWTd2T2M
5,93 அவாமரு 93 78,https://drive.google.com/open?id=0Bw1TGT80HnrbR2VUQWY1Q3Jrcmc
5,94 ஆனாதபிருதிவி 94 79,https://drive.google.com/open?id=0Bw1TGT80HnrbNXlMUGc0Yk1BU0U
5,95 இருவிகனபுகனந்து 95 80,https://drive.google.com/open?id=0Bw1TGT80HnrbdVo5VWQ5OVBldU0
5,96 எந்தத்திகையினும் 96 81,https://drive.google.com/open?id=0Bw1TGT80HnrbSk1LZG9LVFUwSW8
5,97 ஒருவகையும் 97 82,https://drive.google.com/open?id=0Bw1TGT80HnrbcXo5Mm9vSkxYSWs
5,98 ைைாவினிகை 98 83,https://drive.google.com/open?id=0Bw1TGT80HnrbdzJuVDd6Nnh3ckU
5,99 ைடிமாமலர்க்கு 99 84,https://drive.google.com/open?id=0Bw1TGT80HnrbeWxLaF9DZXIyd3M
5,100 ைதிைவன் 100 479,https://drive.google.com/open?id=0Bw1TGT80Hnrba2tQd0FONVJQRDA
5,101 ைகறபடும் 101 85,https://drive.google.com/open?id=0Bw1TGT80HnrbR2Z5X0c0N1UwSDA
5,102 ைாமியத் 102 86,https://drive.google.com/open?id=0Bw1TGT80HnrbSjdVSXgwMGdZZ0k
5,103 குமைகுருபை 103 87,https://drive.google.com/open?id=0Bw1TGT80HnrbRW9fWm15RlZXcEk
5,104 சைணைம 104 88,https://drive.google.com/open?id=0Bw1TGT80HnrbOG9vMlltcnRFNE0
5,105 சுத்திய 105 89,https://drive.google.com/open?id=0Bw1TGT80Hnrba2RPMjBrRmVUTzQ
5,106 பசைமாகய 106 90,https://drive.google.com/open?id=0Bw1TGT80HnrbbS1qU1dHdmdRb1U
5,107 பதருவினில் 107 91,https://drive.google.com/open?id=0Bw1TGT80HnrbUlRHRFlVZ0o1Ymc
5,108 நாசர்தங் 108 92,https://drive.google.com/open?id=0Bw1TGT80HnrbbktVdkVBZno4VVk
5,109 நாசவறு 109 93,https://drive.google.com/open?id=0Bw1TGT80HnrbaWVDcmtjOUZlazQ
5,110 நிகறமதி 110 94,https://drive.google.com/open?id=0Bw1TGT80HnrbSnhzSFpBVFVYNzg
5,111 பாதிமதி 111 95,https://drive.google.com/open?id=0Bw1TGT80HnrbUVByRm90blE0SE0
5,112 மைைசைதனத்தன் 112 462,https://drive.google.com/open?id=0Bw1TGT80HnrbYzRzaFNYdWcxUGM
5,113 ஓருருவாகிய 113 96,https://drive.google.com/open?id=0Bw1TGT80HnrbZmJabnVXUy1pbmM
5,114 அகமவுற்று 114 98,https://drive.google.com/open?id=0Bw1TGT80HnrbWmZkdDNxUE9zaEU
5,115 அைைைசிவ 115 99,https://drive.google.com/open?id=0Bw1TGT80HnrbMnhFeVR1MkpleXc
6,116 இருப்பவல் 116 100,https://drive.google.com/open?id=0Bw1TGT80HnrbM1JhbEN0S19veXM
6,117 இருமலு 117 97,https://drive.google.com/open?id=0Bw1TGT80HnrbNm1QWmZqTW9NUXc
6,118 உைலினூடு 118 101,https://drive.google.com/open?id=0Bw1TGT80HnrbZkpycENuMnkwdVk
6,119 உகையவர் 119 425,https://drive.google.com/open?id=0Bw1TGT80Hnrbd0NKbHJtYjlSSkU
6,120 உய்யஞான 120 454,https://drive.google.com/open?id=0Bw1TGT80HnrbVnlYV01vV09zdWc
6,121 எத்தகனைலாதி 121 102,https://drive.google.com/open?id=0Bw1TGT80Hnrbd3Ywd1FVME5BLU0
6,122 எலுப்புநாடிைள் 122 103,https://drive.google.com/open?id=0Bw1TGT80HnrbYmFuTUNYRnBmWmc
6,123 எனக்பைன 123 104,https://drive.google.com/open?id=0Bw1TGT80HnrbU1lLR0pPVHAyM0E
6,124 எகனயகைந்த 124 105,https://drive.google.com/open?id=0Bw1TGT80HnrbcUZQMHliQW5mMjQ
6,125 ஏதுபுத்தி 125 106,https://drive.google.com/open?id=0Bw1TGT80HnrbQ19UaEp3MFRmZjg
6,126 ைகலமைவார் 126 107,https://drive.google.com/open?id=0Bw1TGT80HnrbZWt6Z0EtVUhVNFk
6,127 ைவடுற்ற 127 473,https://drive.google.com/open?id=0Bw1TGT80HnrbTmZaM24tSUF1b2M
6,128 ைகனத்ததி 128 108,https://drive.google.com/open?id=0Bw1TGT80HnrbR2dnalZ2WFhfM3c
6,129 கிறிபமாழி 129 483,https://drive.google.com/open?id=0Bw1TGT80HnrbRmtITHdWYW9iRDQ
6,130 பைாந்துவார் 130 109,https://drive.google.com/open?id=0Bw1TGT80HnrbQ3ZzNmpyZmZCWnc
6,131 சினத்தவர் 131 110,https://drive.google.com/open?id=0Bw1TGT80HnrbbU92Vm1QbzVoUnM
6,132 சினத்திலத்திகன 132 111,https://drive.google.com/open?id=0Bw1TGT80HnrbMlFMOGxKU1UxTHc
6,133 தாக்ைமரு 133 112,https://drive.google.com/open?id=0Bw1TGT80HnrbTnhwMmZNcG56RXM
6,134 துப்பைப்பா 134 113,https://drive.google.com/open?id=0Bw1TGT80HnrbbU5VcmM4T3dFb0k
6,135 பதாக்ைறா 135 429,https://drive.google.com/open?id=0Bw1TGT80HnrbTWNoN3NubDFqV2s
6,136 நிகலயாத 136 114,https://drive.google.com/open?id=0Bw1TGT80HnrbS2RuZGpKeGNWUWM
6,137 நிகனத்த 137 115,https://drive.google.com/open?id=0Bw1TGT80HnrbV29uU1o0U1J5aWM
6,138 பைலிைா 138 116,https://drive.google.com/open?id=0Bw1TGT80HnrbUERxbkhsYlhuejA
7,139 பருத்தப்பற் 139 465,https://drive.google.com/open?id=0Bw1TGT80HnrbX1VVc25GY0NRTXM
7,140 பபாற்பதத்திகன 140 117,https://drive.google.com/open?id=0Bw1TGT80HnrbLUZqcGh5MGc3SkE
7,141 முத்துத்பதறிக்ை 141 118,https://drive.google.com/open?id=0Bw1TGT80HnrbcWxrUWhCTmxNSGs
7,142 வட்ைவாட்ை 142 463,https://drive.google.com/open?id=0Bw1TGT80HnrbRlN1YW1jMjlxMmM
7,143 வரிக்ைகலயில் 143 119,https://drive.google.com/open?id=0Bw1TGT80HnrbbW43dzQ4bUViZEU
7,144 விகனக்கின 144 464,https://drive.google.com/open?id=0Bw1TGT80HnrbSFl4U2hob25HdTg
7,145 பவற்றிபசய 145 120,https://drive.google.com/open?id=0Bw1TGT80HnrbVTdWVnFWZWZuUms
7,146 ஈனமிகுத்த 146 121,https://drive.google.com/open?id=0Bw1TGT80HnrbXzVOelJQOHJJRzA
7,147 சுற்றைபசைாடு 147 122,https://drive.google.com/open?id=0Bw1TGT80HnrbYWYteUt6VkFtSDA
7,148 பக்தியால் 148 123,https://drive.google.com/open?id=0Bw1TGT80HnrbQ1JXZmxiX3Qxakk
7,149 ஆதிமைமாயி 149 124,https://drive.google.com/open?id=0Bw1TGT80HnrbOTFZTUM1SUZzMTA
7,150 உடுக்ைத்துகில் 150 125,https://drive.google.com/open?id=0Bw1TGT80HnrbRlBsRVpSVkt3Zm8
7,151 எதிரிலாதபக்தி 151 126,https://drive.google.com/open?id=0Bw1TGT80HnrbQWFhazVLYjZXUFU
7,152 ைைைை 152 127,https://drive.google.com/open?id=0Bw1TGT80HnrbWEw0S3h4UGNkY0E
7,153 சைத்சதயுதித்தாய் 153 128,https://drive.google.com/open?id=0Bw1TGT80Hnrbd00yUXNIZmlWV2s
7,154 சரிகயயாளர்க்கும் 154 488,https://drive.google.com/open?id=0Bw1TGT80HnrbUlJCWmhlSHdEMnM
7,155 திருமைளுலாவும் 155 129,https://drive.google.com/open?id=0Bw1TGT80HnrbNjZ5VnFZSWh0OVE
7,156 மாதர்வச 156 130,https://drive.google.com/open?id=0Bw1TGT80HnrbZWNORGtKemdXTzQ
7,157 வருபவர்ைசளாகல 157 131,https://drive.google.com/open?id=0Bw1TGT80HnrbSUhvemdLblBPODA
7,159 சதனுந்து 159 132,https://drive.google.com/open?id=0Bw1TGT80HnrbaEs4WUNCa2Z6Sjg
7,160 புமியதனில் 160 133,https://drive.google.com/open?id=0Bw1TGT80HnrbRXpvZ0plQVVXUUU
7,161 அதிருங்ைழல் 161 134,https://drive.google.com/open?id=0Bw1TGT80HnrbTEJodDNBQlJzb28
8,162 எழுதிைழ் 162 135,https://drive.google.com/open?id=0Bw1TGT80HnrbbFFrRjBZVFZITk0
8,163 தகறயின் 163 136,https://drive.google.com/open?id=0Bw1TGT80HnrbdXV6Rlo3aHI4UWs
8,164 வஞ்சைசலாப 164 137,https://drive.google.com/open?id=0Bw1TGT80HnrbajJtM29uVzAtMm8
8,165 ஐங்ைைகன 165 138,https://drive.google.com/open?id=0Bw1TGT80HnrbQU5mNW5iekk3blk
8,166 பதால்கலமுதல் 166 139,https://drive.google.com/open?id=0Bw1TGT80HnrbVjJ6NV9hVkFZTVU
8,167 மகனயவள் 167 140,https://drive.google.com/open?id=0Bw1TGT80HnrbUWJBN3N4eXJ4NDg
8,168 ஏழுகுநிகற 168 141,https://drive.google.com/open?id=0Bw1TGT80HnrbRXVHVnR4NXZfdGM
8,169 சவதபவற் 169 142,https://drive.google.com/open?id=0Bw1TGT80HnrbZXRRVFByYzB4SUU
8,170 மகலக்கு 170 482,https://drive.google.com/open?id=0Bw1TGT80Hnrbc21yYTdDSEVKclk
8,171 அந்சதாமன 171 143,https://drive.google.com/open?id=0Bw1TGT80HnrbSk8yT3dQb3dIUGM
8,172 தவளரூப 172 144,https://drive.google.com/open?id=0Bw1TGT80HnrbX3BBWXJlOXhvMk0
8,173 சக்திபாணி 173 145,https://drive.google.com/open?id=0Bw1TGT80HnrbNEYyZzA0cGFQa2s
8,174 பைலிைவினிற் 174 146,https://drive.google.com/open?id=0Bw1TGT80HnrbaTFvVDNxUENCZzQ
8,175 புவனத்பதாரு 175 147,https://drive.google.com/open?id=0Bw1TGT80HnrbQXR4RE92NHU2NEk
8,176 வாசித்து 176 148,https://drive.google.com/open?id=0Bw1TGT80HnrbckZmWWRpVWZEbnM
8,177 அன்பாை 177 149,https://drive.google.com/open?id=0Bw1TGT80HnrbaXZWZzRBRll1b1U
8,178 ைாலனிைத்து 178 150,https://drive.google.com/open?id=0Bw1TGT80Hnrba1VqUHpvUnVWbk0
8,179 பைாடியமறலி 179 151,https://drive.google.com/open?id=0Bw1TGT80Hnrbc00xTkt2TFluQ00
8,180 பத்தர்ைணப்ரிய 180 152,https://drive.google.com/open?id=0Bw1TGT80HnrbRmhuTGZMZkdpNlU
8,181 புற்புதபமனா 181 153,https://drive.google.com/open?id=0Bw1TGT80HnrbN2k4WVJ3NXVkclE
8,182 ஒருபது 182 154,https://drive.google.com/open?id=0Bw1TGT80HnrbZTAxMTBIdEw5bDA
8,183 ைரிவாம்பரி 183 442,https://drive.google.com/open?id=0Bw1TGT80HnrbODhqTlQ0aEdKMjg
8,184 ைறுத்ததகல 184 155,https://drive.google.com/open?id=0Bw1TGT80HnrbRkwtZy1UeGRwbjQ
9,185 சைவணபவநிதி 185 156,https://drive.google.com/open?id=0Bw1TGT80HnrbSGJyVlVZZFpvcm8
9,186 சாந்தமில் 186 157,https://drive.google.com/open?id=0Bw1TGT80HnrbSGNGMFM1emoxcW8
9,187 பாட்டிலுருகிகல 187 158,https://drive.google.com/open?id=0Bw1TGT80HnrbM1cwWTNEYW1hLWs
9,188 அல்லிவிழியாலும் 188 159,https://drive.google.com/open?id=0Bw1TGT80HnrbZDZYamNVQmRxSU0
9,189 ஐயுமுறு 189 160,https://drive.google.com/open?id=0Bw1TGT80HnrbaXR1Z2pUVzNiSWs
9,190 ைைனமும் 190 161,https://drive.google.com/open?id=0Bw1TGT80HnrbYUN1QzJiRDB0RlE
9,191 குடிவாழ்க்கை 191 162,https://drive.google.com/open?id=0Bw1TGT80HnrbTDhfUWk4U01PSE0
9,192 சிைம்அங்ைம் 192 478,https://drive.google.com/open?id=0Bw1TGT80HnrbSmdBWlVsY2RxZzQ
9,193 அல்லில் 193 163,https://drive.google.com/open?id=0Bw1TGT80HnrbOUY2WFdlbDBFdTA
9,194 சைவணஜாதா 194 164,https://drive.google.com/open?id=0Bw1TGT80HnrbMENELVVFTW42RFk
9,195 இலாபமில் 195 165,https://drive.google.com/open?id=0Bw1TGT80HnrbMlZjbktQbHIzbGM
9,196 ஐந்துபூத 196 166,https://drive.google.com/open?id=0Bw1TGT80HnrbQnFScnRBN2pXYVU
9,197 ைரிபுைாரி 197 167,https://drive.google.com/open?id=0Bw1TGT80HnrbOHRMeUFnNEIxTk0
9,198 பைாைாதவகன 198 168,https://drive.google.com/open?id=0Bw1TGT80HnrbM0NoVFFSX2Q3SWs
9,199 சீைானசைால 199 500,https://drive.google.com/open?id=0Bw1TGT80HnrbVW4tMVZyNE9RVU0
9,200 தூதாளசைாடு 200 494,https://drive.google.com/open?id=0Bw1TGT80HnrbOGpteUNISzRaeUk
9,201 நிைாமய 201 170,https://drive.google.com/open?id=0Bw1TGT80HnrbSHFEQVNkaUw3enM
9,202 மாலாகச 202 170,https://drive.google.com/open?id=0Bw1TGT80Hnrbd25nQzYzVE1XTUU
9,203 ைருகியறி 203 498,https://drive.google.com/open?id=0Bw1TGT80HnrbVy04VGp0Tzc5WlE
9,204 இறவாமற் 204 171,https://drive.google.com/open?id=0Bw1TGT80HnrbUU1GUDZna1JmWkk
9,205 மனத்திகை 205 172,https://drive.google.com/open?id=0Bw1TGT80HnrbVTg4WVRvYjd0S2c
9,206 வாட்பை 206 173,https://drive.google.com/open?id=0Bw1TGT80HnrbM3Vkak85RlM3c28
9,207 வாலவயதாகி 207 174,https://drive.google.com/open?id=0Bw1TGT80HnrbaHFDSG1Ea0I3V00
10,208 சுருதிமகற 208 175,https://drive.google.com/open?id=0Bw1TGT80HnrbSk1OUW4zemhIbjg
10,209 சதாபலலும்பு 209 176,https://drive.google.com/open?id=0Bw1TGT80HnrbQzBzTHdGT3RHVEE
10,210 ஓங்குகமம்புலன் 210 177,https://drive.google.com/open?id=0Bw1TGT80Hnrbb0xJRTBMaGJKVDg
10,211 சந்தனந்திமிர்ந்த 211 178,https://drive.google.com/open?id=0Bw1TGT80HnrbelhfaEdKQjBsWVE
10,212 விைைற சநாக்கியும் 212 179,https://drive.google.com/open?id=0Bw1TGT80HnrbU0sya2hKSnZoenM
10,213 விந்துசபதித்த 213 459,https://drive.google.com/open?id=0Bw1TGT80HnrbZHZUaG54MHQ5U0k
10,214 எந்தன் 214 180,https://drive.google.com/open?id=0Bw1TGT80HnrbSkFkNFN6bHBBVUE
10,215 தகசயாகி 215 181,https://drive.google.com/open?id=0Bw1TGT80HnrbZnJaOWdNWFhIX0U
10,216 நித்தப்பிணி 216 491,https://drive.google.com/open?id=0Bw1TGT80HnrbYzBGNzE2Z3JMaXc
10,217 மதியால் 217 182,https://drive.google.com/open?id=0Bw1TGT80Hnrbb0p2SHZSUGtqblk
10,218 தாைணி 218 183,https://drive.google.com/open?id=0Bw1TGT80HnrbQjJ2cG1oblRKVE0
10,219 சவழமுண்ை 219 184,https://drive.google.com/open?id=0Bw1TGT80HnrbYkU5YnMzNXpnS3M
10,220 ைறுத்தகுஞ்சியு 220 185,https://drive.google.com/open?id=0Bw1TGT80HnrbVUdDSDlaekFnZTQ
10,221 பசனித்திடு 221 499,https://drive.google.com/open?id=0Bw1TGT80HnrbVk92cVJuRjdtQzQ
10,222 தகையினில் 222 186,https://drive.google.com/open?id=0Bw1TGT80HnrbeFpfRmpnVU5FQUE
10,223 நீலமுகிலான 223 485,https://drive.google.com/open?id=0Bw1TGT80Hnrba3hKTHBPVnAzTFE
10,224 ஆதிமுதனா 224 187,https://drive.google.com/open?id=0Bw1TGT80HnrbSWw5VzEzQVNTb1U
